"Name","Type","Geom1","Geom2","Geom3","Geom4","Barrels","Culvert"
"399_38","Trapezoidal",1,1,0,0,1,0
"399_39","Trapezoidal",1,1,0,0,1,0
"399_4","Trapezoidal",1,1,0,0,1,0
"399_40","Trapezoidal",1,1,0,0,1,0
"399_41","Trapezoidal",1,1,0,0,1,0
"399_42","Trapezoidal",1,1,0,0,1,0
"399_43","Trapezoidal",1,1,0,0,1,0
"399_44","Trapezoidal",1,1,0,0,1,0
"399_45","Trapezoidal",1,1,0,0,1,0
"399_46","Trapezoidal",1,1,0,0,1,0
"399_47","Trapezoidal",1,1,0,0,1,0
"399_48","Trapezoidal",1,1,0,0,1,0
"399_49","Trapezoidal",1,1,0,0,1,0
"399_5","Trapezoidal",1,1,0,0,1,0
"399_50","Trapezoidal",1,1,0,0,1,0
"399_51","Trapezoidal",1,1,0,0,1,0
"399_52","Trapezoidal",1,1,0,0,1,0
"399_6","Trapezoidal",1,1,0,0,1,0
"399_7","Trapezoidal",1,1,0,0,1,0
"399_8","Trapezoidal",1,1,0,0,1,0
"399_9","Trapezoidal",1,1,0,0,1,0
"400_1","Trapezoidal",1,1,0,0,1,0
"400_10","Trapezoidal",1,1,0,0,1,0
"400_11","Trapezoidal",1,1,0,0,1,0
"400_12","Trapezoidal",1,1,0,0,1,0
"400_13","Trapezoidal",1,1,0,0,1,0
"400_14","Trapezoidal",1,1,0,0,1,0
"400_15","Trapezoidal",1,1,0,0,1,0
"400_16","Trapezoidal",1,1,0,0,1,0
"400_17","Trapezoidal",1,1,0,0,1,0
"400_18","Trapezoidal",1,1,0,0,1,0
"400_2","Trapezoidal",1,1,0,0,1,0
"400_3","Trapezoidal",1,1,0,0,1,0
"400_4","Trapezoidal",1,1,0,0,1,0
"400_5","Trapezoidal",1,1,0,0,1,0
"400_6","Trapezoidal",1,1,0,0,1,0
"400_7","Trapezoidal",1,1,0,0,1,0
"400_8","Trapezoidal",1,1,0,0,1,0
"400_9","Trapezoidal",1,1,0,0,1,0
"421_1","Trapezoidal",1,1,0,0,1,0
"421_10","Trapezoidal",1,1,0,0,1,0
"421_11","Trapezoidal",1,1,0,0,1,0
"421_12","Trapezoidal",1,1,0,0,1,0
"421_13","Trapezoidal",1,1,0,0,1,0
"421_14","Trapezoidal",1,1,0,0,1,0
"421_15","Trapezoidal",1,1,0,0,1,0
"421_16","Trapezoidal",1,1,0,0,1,0
"421_17","Trapezoidal",1,1,0,0,1,0
"421_18","Trapezoidal",1,1,0,0,1,0
"421_19","Trapezoidal",1,1,0,0,1,0
"421_2","Trapezoidal",1,1,0,0,1,0
"421_20","Trapezoidal",1,1,0,0,1,0
"421_21","Trapezoidal",1,1,0,0,1,0
